Month,Total Gallons,Postal Code
2/1/2012,13763400,78751
2/1/2012,6366200,78660
2/1/2012,46366900,78749
2/1/2012,343100,78742
2/1/2012,12055100,78746
2/1/2012,9075300,78756
2/1/2012,89500,78653
2/1/2012,256900,78750
2/1/2012,12448600,78751
2/1/2012,2723500,78660
2/1/2012,857600,78653
2/1/2012,12390500,78757
2/1/2012,34191800,78753
2/1/2012,13104400,78749
2/1/2012,263500,78751
2/1/2012,4058800,78730
2/1/2012,27752200,78739
2/1/2012,1920500,78753
2/1/2012,37378500,78703
2/1/2012,3000300,78749
2/1/2012,933900,78754
2/1/2012,4661800,78617
2/1/2012,15865500,78731
2/1/2012,542500,78730
2/1/2012,23864100,78702
2/1/2012,11063200,78703
2/1/2012,43634400,78753
2/1/2012,12086900,78701
2/1/2012,311500,78703
2/1/2012,1684400,78745
2/1/2012,0,78712
2/1/2012,30581700,78727
3/1/2012,125800,78728
3/1/2012,80321000,78741
3/1/2012,20300,78724
3/1/2012,19627600,78724
3/1/2012,339300,78705
3/1/2012,21100,78652
3/1/2012,18042700,78731
3/1/2012,447700,78731
3/1/2012,696200,78652
3/1/2012,21012400,78727
3/1/2012,9733400,78735
3/1/2012,0,78750
3/1/2012,42200,78751
3/1/2012,19700,78652
3/1/2012,14854000,78721
3/1/2012,300,78721
3/1/2012,58700000,78748
3/1/2012,1578800,78741
3/1/2012,19474300,78747
3/1/2012,800,78727
3/1/2012,500,78744
3/1/2012,1300,78729
3/1/2012,13900,78741
3/1/2012,21927100,78729
3/1/2012,4704600,78737
3/1/2012,173600,78730
3/1/2012,1000,78726
3/1/2012,0,78753
3/1/2012,5900,78660
3/1/2012,24300,78757
3/1/2012,641000,78759
3/1/2012,17657900,78754
3/1/2012,34900,78759
3/1/2012,553800,78719
3/1/2012,27000,78702
3/1/2012,40437200,78704
3/1/2012,6778800,78717
3/1/2012,46078600,78704
3/1/2012,1014400,78701
3/1/2012,4600,78732
3/1/2012,1842500,78745
3/1/2012,1199700,78717
3/1/2012,38900,78705
3/1/2012,197700,78746
3/1/2012,14170000,78724
3/1/2012,22950200,78744
3/1/2012,3700,78737
3/1/2012,24170500,78717
3/1/2012,8721800,78705
3/1/2012,1924000,78726
3/1/2012,195500,78724
3/1/2012,1988100,78725
3/1/2012,1935200,78748
3/1/2012,0,78721
3/1/2012,796100,78704
3/1/2012,2975600,78722
3/1/2012,1300,78749
3/1/2012,46300,78613
3/1/2012,39221900,78753
3/1/2012,8200,78738
3/1/2012,33127300,78727
3/1/2012,56400,78757
3/1/2012,887800,78735
3/1/2012,161000,78731
3/1/2012,1448200,78719
3/1/2012,22300,78745
3/1/2012,6615300,78747
3/1/2012,121700,78747
3/1/2012,7288600,78728
3/1/2012,365700,78746
3/1/2012,0,78754
3/1/2012,0,78712
3/1/2012,11131400,78726
3/1/2012,60800,78752
3/1/2012,220000,78744
3/1/2012,2100,78756
3/1/2012,39472900,78703
3/1/2012,26549200,78702
3/1/2012,134500,78704
3/1/2012,19841200,78723
3/1/2012,1296300,78729
3/1/2012,18607800,78729
3/1/2012,0,78758
3/1/2012,6000,78748
3/1/2012,2812500,78727
3/1/2012,160300,78723
3/1/2012,4620500,78721
3/1/2012,161300,78736
3/1/2012,13000,78613
3/1/2012,273700,78725
3/1/2012,0,78739
3/1/2012,283800,78742
3/1/2012,913600,78653
3/1/2012,84000,78722
3/1/2012,649100,78703
3/1/2012,0,78717
3/1/2012,328500,78702
3/1/2012,2024800,78736
3/1/2012,5100,78736
3/1/2012,74600,78747
3/1/2012,23132600,78746
3/1/2012,3763200,78728
3/1/2012,4234700,78730
3/1/2012,17558343,78741
3/1/2012,18200,78733
3/1/2012,31007900,78723
3/1/2012,7000500,78660
3/1/2012,9658100,78756
3/1/2012,12438600,78726
3/1/2012,29103100,78757
3/1/2012,13848200,78757
3/1/2012,215200,78703
3/1/2012,3578600,78617
3/1/2012,4404000,78730
3/1/2012,16583400,78749
3/1/2012,255200,78751
3/1/2012,3778000,78660
3/1/2012,1020500,78758
3/1/2012,910700,78754
3/1/2012,14814500,78751
3/1/2012,11918000,78752
3/1/2012,591200,78730
3/1/2012,43860900,78758
3/1/2012,71097600,78745
3/1/2012,13295800,78751
3/1/2012,14900800,78735
3/1/2012,48439800,78759
3/1/2012,28989500,78739
3/1/2012,441300,78750
3/1/2012,10102100,78736
3/1/2012,32304500,78745
3/1/2012,12766300,78701
3/1/2012,7855400,78722
3/1/2012,137500,78701
3/1/2012,52626500,78749
3/1/2012,627200,78742
3/1/2012,35350500,78759
3/1/2012,2261800,78753
3/1/2012,49600,78756
3/1/2012,49269400,78744
3/1/2012,13126500,78746
3/1/2012,69700,78653
3/1/2012,46725900,78731
3/1/2012,17775600,78617
3/1/2012,5640500,78756
3/1/2012,11412100,78750
3/1/2012,33613100,78705
3/1/2012,12261300,78703
3/1/2012,47928000,78753
3/1/2012,39678800,78750
3/1/2012,9070700,78702
3/1/2012,3696400,78749
3/1/2012,13929700,78748
3/1/2012,38011800,78758
3/1/2012,19214800,78752
3/1/2012,14540700,78754
4/1/2012,21898400,78729
4/1/2012,22972600,78735
4/1/2012,2790400,78660
4/1/2012,56300,78756
4/1/2012,27000,78745
4/1/2012,12900,78660
4/1/2012,42503200,78753
4/1/2012,7178500,78717
4/1/2012,59400,78757
4/1/2012,10912100,78724
4/1/2012,31612800,78705
4/1/2012,797700,78652
4/1/2012,2780700,78722
4/1/2012,2132600,78736
4/1/2012,35997000,78759
4/1/2012,0,78739
4/1/2012,485000,78731
4/1/2012,430600,78747
4/1/2012,13004000,78736
4/1/2012,1038400,78653
4/1/2012,9834000,78735
4/1/2012,81900,78653
4/1/2012,37056200,78717
4/1/2012,10679900,78756
4/1/2012,63900,78752
4/1/2012,4300,78741
4/1/2012,10599600,78750
4/1/2012,63156000,78749
4/1/2012,129000,78723
4/1/2012,76021300,78741
4/1/2012,19800,78750
4/1/2012,13900,78736
4/1/2012,7400,78738
4/1/2012,0,78754
4/1/2012,0,78724
4/1/2012,1590900,78741
4/1/2012,5600,78727
4/1/2012,162400,78704
4/1/2012,42700,78705
4/1/2012,62707700,78759
4/1/2012,32000,78724
4/1/2012,19135800,78724
4/1/2012,15044600,78721
4/1/2012,2000,78748
4/1/2012,2160500,78717
4/1/2012,9400,78717
4/1/2012,33679100,78739
4/1/2012,2657700,78726
4/1/2012,469300,78702
4/1/2012,20768500,78729
4/1/2012,28811500,78745
4/1/2012,2148900,78748
